# Video data for Tom Scott (UCBa659QWEk1AI4Tg--mrJ2A)
# id;publishedAt;title
Q3KT-OOg9y0;2017-12-14T16:00:01.000Z;The Flip Flap Railroad and Marshmallow Bearings: Citation Needed 7x04
H2J1vOpzOI0;2017-12-07T16:00:03.000Z;Turra Coo and Four-Legged Juggling: Citation Needed 7x03
cDboEgjZjAE;2017-11-30T16:00:02.000Z;The Sark Football Team and Hovercraft Enthusiasm: Citation Needed 7x02
nrU8Kh6Mf7o;2017-11-23T16:00:07.000Z;Charles Blondin and the Stolen Point: Citation Needed 7x01
w2A8q3XIhu0;2017-11-27T16:00:04.000Z;Why Hold Music Sounds Worse Now
zOgle88sKro;2017-11-20T16:00:04.000Z;The German Town That's Literally Breaking Apart
_-aDHxoblr4;2017-11-13T16:00:03.000Z;Is It Dangerous To Talk To A Camera While Driving?
4JAjIjXbe3Y;2017-10-30T16:00:00.000Z;The Story of Salvation Mountain
1cUUfMeOijg;2017-11-06T16:00:00.000Z;The Lava Lamps That Help Keep The Internet Secure
YQ6vWW9BEKU;2017-10-23T15:00:03.000Z;What Is Sea Level, Anyway?
Ef93WmlEho0;2017-10-16T15:00:02.000Z;Why California's Musical Road Sounds Terrible
b6utGZQ9Sks;2017-10-02T15:00:06.000Z;The Reaction Ferries of Basel: What Have We Missed?
cfSIC8jwbQs;2017-09-25T15:00:04.000Z;The Centuries-Old Debt That's Still Paying Interest
-DGXHMOhXAw;2017-09-18T15:00:01.000Z;Rotary Jails and Accidental Amputations
JsTptu56GM8;2017-09-11T15:00:01.000Z;How Computers Compress Text: Huffman Coding and Huffman Trees
PB7HT3BZLzM;2017-09-04T15:00:03.000Z;A Nuclear Waste Dump You Can Walk On: Weldon Spring, Missouri
jvJzi0BXcGI;2017-08-28T15:00:06.000Z;The US Government's $983 Freeze-Dried Urine
DTRb6G9c9wU;2017-08-23T15:00:02.000Z;Inside The Giant American Freezer Filled With Polar Ice
i8P5a1uqIMw;2017-08-14T15:00:06.000Z;What Counts as a Mountain?
QPZ0pIK_wsc;2017-07-31T15:00:04.000Z;FizzBuzz: One Simple Interview Question
diPiSHxfGyE;2017-07-24T15:00:03.000Z;Connectome Scanning: Looking at the Brain's Wiring
_NzVmtbPOrM;2017-07-18T15:00:06.000Z;I Can't Show You How Pink This Pink Is
RA5UiLYWdbM;2017-07-10T15:00:03.000Z;Why Old Screens Make A ᴴᶦᵍʰ ᴾᶦᵗᶜʰᵉᵈ Noise
KrO_ZMQ8aFc;2017-07-06T15:00:04.000Z;Benjamin Rush and Inventing the Bucket: Citation Needed 6x06
gcRJr9xQSAE;2017-06-29T15:00:07.000Z;Acoustic Kitty and Bat Bombs: Citation Needed 6x05
kdTsbFS4xmI;2017-06-26T15:00:05.000Z;An Elevator That Actually Goes Sideways
i8MFK0w0hlg;2017-06-19T15:00:04.000Z;The Runways of Fire That Let WW2 Planes Land In Fog: FIDO
CINVwWHlzTY;2017-07-03T15:00:01.000Z;Why The Government Shouldn't Break WhatsApp
qFL_JAkWZy8;2017-06-22T15:00:06.000Z;Julie D'Aubigny and Dueling Scars: Citation Needed 6x04
PfdBTsyrqaI;2017-06-12T15:00:03.000Z;The Museum of Failure
RC2qosa3Wjo;2017-06-08T15:00:02.000Z;Stephens Island Wren and the Cobra Effect: Citation Needed 6x03
fq7oauciBdc;2017-06-05T15:00:06.000Z;Blocking People in Real Life: Tom Scott at An Evening of Unnecessary Detail
QXW2-LBf-5E;2017-06-01T15:00:05.000Z;The $100 Hamburger and Tach Time: Citation Needed 6x02
jGo9gYypQc8;2017-05-29T15:00:08.000Z;The Poison Garden of Alnwick
6TsEGt841pw;2017-05-25T15:00:01.000Z;Jack Churchill and a Live Studio Audience: Citation Needed 6x01
nUB7IflBBrc;2017-05-22T15:00:05.000Z;The World's Most Powerful Tidal Current: the Saltstraumen Maelstrom
BSpAWkQLlgM;2017-05-15T15:00:00.000Z;Why The YouTube Algorithm Will Always Be A Mystery
d3WiRunOsWY;2017-05-08T15:00:06.000Z;How The Arecibo Telescope Could Help Save The World
yy16KFzM4XU;2017-05-01T15:00:05.000Z;Why Sci-Fi Alien Planets Look The Same: Hollywood's Thirty-Mile Zone
wEjy8iaUPmo;2017-04-24T15:00:08.000Z;How To Not Break A Mars Rover
YLlzx6v8CcA;2017-04-17T15:00:01.000Z;Voyager 1's Getting Closer to Earth Right Now
L3iJjrQmEho;2017-04-10T15:00:02.000Z;Drones vs Lightning ⚡
EN6COaYLS_A;2017-04-03T15:00:01.000Z;Why This “Zero Calorie Sweetener” Isn’t Zero Calories
KGne-ZUZCg0;2017-03-27T15:00:03.000Z;Why Song Translations Usually Suck
NF_2Io7g9fE;2017-03-20T16:00:02.000Z;The Foil That Went To The Moon And Back
VnvGwFegbC8;2017-03-13T16:00:05.000Z;The Disaster That Changed Engineering: The Hyatt Regency Collapse
Ri_4dDvcZeM;2017-03-06T16:00:02.000Z;You Can Hear The Difference Between Hot and Cold Water
l6lGe5jgZgI;2017-02-27T16:00:07.000Z;One Town, Four Elements: Ytterby
oGUcAg4W2hw;2017-02-20T16:00:06.000Z;The Beer Pipeline of Bruges
8T7ux3DXP_w;2017-02-16T15:00:00.000Z;Inside YouTube's Mixed Reality VR Lab
kMLYLcniXIc;2017-02-13T16:01:59.000Z;The World Is Slowly Running Out Of Sand
Q4WL5OuJfC4;2017-02-06T18:42:39.000Z;America's First Supermodel: Audrey Munson
4gE9qxX5VjE;2017-01-30T16:00:00.000Z;Elia: The World's Most Frustrating Work of Art
VdmQp9M9jUo;2017-01-23T16:00:01.000Z;ᚼᛒ: Harald Bluetooth and Your Phone
4aCMDQsx740;2017-01-16T16:00:00.000Z;Zero-G Experiments on Earth: The Bremen Drop Tower
cdPymLgfXSY;2017-01-09T16:00:03.000Z;The Little-Known Patterns on British Streets
nIkLMmh9KGc;2016-12-23T16:00:01.000Z;Why YouTube Streams Don't Count For Christmas № 1
uf6fghQYCVk;2016-12-19T16:00:05.000Z;Science vs the Weather: Salford's Energy House
KwHj4lj3F-k;2017-01-02T16:27:45.000Z;The Confusing Borders of Lake Constance
TGyHJ-xmcuc;2016-12-26T16:29:14.000Z;Fallout Shelters and Zurich's Water: Swiss Resilience
EiZU3BvqvP4;2016-12-08T14:08:35.000Z;Wheels, Bombs, and Perpetual Motion Machines
-zjJpFYtx9s;2016-11-28T20:27:17.000Z;Arson as a Christmas Tradition: The Gävle Goat
bUIiUXvnkUQ;2016-12-12T16:00:03.000Z;In Old Movies, Why The Dial Tone After Someone Hangs Up?
i70wkxmumAw;2016-12-01T16:00:04.000Z;Stopping a Disastrous Plan with Science: the Bay Model
-so4bLE5kPc;2016-12-05T16:00:01.000Z;The City of the Dead: Colma, California
y9pknU0zv9c;2016-11-17T16:00:04.000Z;3D Printing Stainless Steel with Giant Robot Arms
TIxt9guMbXo;2016-11-21T16:00:00.000Z;The World's Most Famous Teapot: The Utah Teapot
MA9Du5l7qV0;2016-11-14T16:00:02.000Z;The Spider Dress That Reacts To Personal Space Invaders
8lQtdhtw5eI;2016-11-07T16:00:01.000Z;The Grave of the Man Who Never Was: Operation Mincemeat
TEdsQmjLMKs;2016-11-01T16:00:01.000Z;The Bizarre Plan to Drain the Mediterranean: Atlantropa
gGXjWqVeVJE;2016-10-27T15:00:30.000Z;The Solar Power Towers of Southern Spain
QCwpVtqcqNE;2016-10-24T15:00:01.000Z;The Zip Line Across Time Zones
8cICu9HtGhQ;2016-10-17T15:00:00.000Z;The World's Most Dangerous Path Isn't So Dangerous Any More
iaSaWfw07Sw;2016-10-10T15:00:03.000Z;Pod Cars of the Past and Future: The Morgantown PRT
eQEGPATQe5s;2016-10-03T15:26:46.000Z;The Town Where Wi-Fi Is Banned: The Green Bank Telescope and the Quiet Zone
PBZ728jH7j0;2016-09-29T15:00:03.000Z;Cold Wars, Cruise Ships, and the Northwest Passage
xW4hI_METac;2016-09-26T15:00:24.000Z;ᑖᒻ ᔅᑳᑦ and ᖃᓂᐅᔮᖅᐸᐃᑦ
Fl1Z205KKNA;2016-10-20T15:00:01.000Z;Classic Trivia Question Cards: Citation Needed Live, The Encore
4iSncY1_CzY;2016-10-13T15:00:17.000Z;The Ice Block Expedition and Chainsaw Licenses: Citation Needed LIVE, Part 2
RzfiF9ccZvQ;2016-10-06T15:00:01.000Z;Ruth Belville and Time Balls: Citation Needed LIVE, Part 1
5G9BHrAgQz0;2016-09-22T15:00:00.000Z;Internet to the Arctic: A Greenlandic Relay Station
QnM2tVZr7Fs;2016-09-19T15:00:05.000Z;No-One Knows Who Got To The North Pole First
PT7KPztnIXw;2016-09-15T15:00:03.000Z;The Front Falls Off: Glaciers Don't Go Backwards
vULUkp7Ttss;2016-09-12T15:00:03.000Z;Listening for Nuclear Tests at the Top of the World
WKQT1MXfasM;2016-09-05T15:00:04.000Z;Seeing Things: Visual Disturbances We All Experience
KK3FQXObWEs;2016-09-01T15:00:01.000Z;The Fake-British Ghost Town In China: Thames Town
pt2fSq46Pcw;2016-08-29T15:00:04.000Z;Why Mountain Dew Rots Your Teeth More Than Coca-Cola
UtQGYz4f3YQ;2016-08-22T15:00:02.000Z;The Battery That's Lasted 176 Years
5uz6xOFWi4A;2016-08-18T14:59:40.000Z;The Problem With Renewable Energy (and how we're fixing it)
txqfRsQkFMc;2016-08-08T18:14:39.000Z;Hebocon UK: Deliberately Terrible Robot Fighting
Vcx7_1yphJI;2016-08-01T15:00:01.000Z;The Mushroom Cloud Over Britain: RAF Fauld and the Hanbury Crater
642x2Y3Zla0;2016-07-25T14:59:47.000Z;The Fake Vinegar In British Fish and Chip Shops
cDZjm4f9CEo;2016-07-15T16:41:18.000Z;No, Pokémon Go Can't Read Your Email
Za96MbXuwEQ;2016-07-14T15:00:02.000Z;Camille Flammarion and a Spiritualist Story: Citation Needed 5x05
QWItLyDzMyE;2016-07-11T15:00:01.000Z;The Scientifically Inaccurate Dinosaurs That Must Stay That Way
3WHmETKW72E;2016-07-06T17:08:16.000Z;The Bus Replacement Rail Service (yes, that's the right way round)
vs3XJTYli10;2016-07-07T15:00:04.000Z;Camp Bonifas and Yorkshire Scouting: Citation Needed 5x04
4F7WCutpsJw;2016-07-04T15:00:01.000Z;The Man Who Invented, Then Hated, Shopping Malls
ObEJk4bAV8M;2016-06-30T15:00:02.000Z;BackpackersXpress and the Disco Carriage: Citation Needed 5x03
JKCBeDeVxkg;2016-06-27T15:03:10.000Z;Nobody's Exactly Sure How Much A Kilogram Is Right Now
4og8wG8VQWM;2016-06-23T15:00:01.000Z;Thomas Midgley Jr and a Pope Infestation: Citation Needed 5x02
2NGc3-df8sA;2016-06-20T14:59:59.000Z;The Flower That Smells Like Death
48in2BIx4ds;2016-06-16T15:00:00.000Z;The Hydraulic Telegraph and Latin Grease: Citation Needed 5x01
ic_FpRG7Z_k;2016-06-13T15:00:04.000Z;Why You Can't Advertise Cancer Cures In Britain
CcZdwX4noCE;2016-06-06T15:00:17.000Z;Why Web Filters Don't Work: Penistone and the Scunthorpe Problem
xl6jzEhxoVA;2016-06-01T17:00:31.000Z;Questionable with Jay Foreman, Sarah Breese and Will Seaward
r6Rp-uo6HmI;2016-05-23T15:00:02.000Z;Why Snow and Confetti Ruin YouTube Video Quality
A739p5HkRZ8;2016-05-16T15:00:00.000Z;The Strangest Elevator In Italy: the Ascensore Castello d'Albertis-Montegalletto, Genoa
mCSUmwP02T8;2016-05-09T15:00:01.000Z;The Most Dangerous Stretch of Water in the World: The Strid at Bolton Abbey, Yorkshire
Lsiq_3-cSHs;2016-05-02T15:00:01.000Z;The Not-Quite-Robots That Help Fix Fusion Reactors
IrtGp8hv-0Y;2016-04-25T14:59:18.000Z;Help, My Fusion Reactor's Making A Weird Noise
1bO8zEaSuWg;2016-04-14T14:52:16.000Z;In Norway, Everyone Can Know How Much You Earn
1N1ydPJGGj4;2016-04-11T15:00:00.000Z;American Alcohol Has To Be Radioactive
qsjVfJur1ac;2016-04-07T15:00:02.000Z;Order and Chaos - Hannah Nicklin vs Emma Blackery - Game On 1x06
5OPkGQoPeHk;2016-04-04T15:00:01.000Z;Accidental Emoji Expert: Tom Scott at An Evening of Unnecessary Detail
GLqJvWlEolk;2016-03-31T15:00:00.000Z;Quiz Buzz - Steven Bridges vs Emma Blackery - Game On 1x05
sP2qqMegNKA;2016-03-28T15:00:03.000Z;The First Ever Wireless Hack: Marconi vs Maskelyne
0qy-2uPRzK8;2016-03-24T16:00:00.000Z;Weighted War - Steven Bridges vs Hannah Nicklin - Game On 1x04
gocwRvLhDf8;2016-03-21T16:00:02.000Z;Will YouTube Ever Run Out Of Video IDs?
zMLE7a3faI4;2016-03-17T16:00:01.000Z;Black Hole - Emma Blackery vs Katie Steckles - Game On 1x03
18_6kLLKoEc;2016-03-14T16:00:00.000Z;Why You Should Write Down Your Goals
iGjPn8V4O9E;2016-03-07T16:00:02.000Z;Driving Through Russia Without A Visa: The Saatse Boot
MifSLmBQltk;2016-03-03T15:59:48.000Z;Tumblin-Dice: Hannah Nicklin vs Katie Steckles - Game On 1x02
R9u41aeItss;2016-02-29T16:16:20.000Z;Unexploded Bombs off the British Coast: the SS Richard Montgomery
4gZwGTT3jXg;2016-02-25T16:00:11.000Z;Rock Paper Scissors Hammer Helmet: Steven Bridges vs Emma Blackery - Game On 1x01
m5dXWJi4pIA;2016-02-22T16:10:22.000Z;Inside A Satellite Clean Room
Mm5khEUIBx0;2016-02-15T16:00:00.000Z;Power, Politics and Pragmatism: The British National Grid
MVI87HzfskQ;2016-02-12T21:35:56.000Z;Why 1/1/1970 Bricks Your iPhone
3kgI-TZXCa8;2016-02-11T16:00:00.000Z;Victor Lustig and Binary Points: Citation Needed 4x05
odX81LsE5RY;2016-02-08T16:00:02.000Z;What Counts as the World's Largest Clock?
G6f5k_nO9ZY;2016-02-04T15:59:45.000Z;Shanghai Fugu and Mucky Fat: Citation Needed 4x04
xo6IubbQuCk;2016-02-03T16:00:21.000Z;The Second Largest Freezer in Norway
bbptPx9dmC4;2016-02-05T15:59:49.000Z;The Biathlon: Firing Guns Under Pressure
IQ3kQPWlU-o;2016-02-01T16:28:36.000Z;How To Make Snow
d10k3iiZ_xk;2016-01-25T22:43:35.000Z;How "Crash Safari" Reboots Your Phone
F4KZLcvMQWg;2016-01-25T16:00:00.000Z;Why Wuppertal's Suspended Monorail Wasn't The Future Of Travel
Sw5VU0GE_Wo;2016-01-28T16:00:00.000Z;Cello Scrotum and Radium Water: Citation Needed 4x03
1KzcZZ_3vL8;2016-01-21T16:00:00.000Z;Project Cybersyn and Military Fridges: Citation Needed 4x02
8-evKtoPN-8;2016-01-18T16:00:00.000Z;Calling The Police Doesn't Charge Your Phone Battery
9PlQPJmh95U;2016-01-14T16:00:31.000Z;Graham Island and Ye Starbucks: Citation Needed 4x01
Ki8BLLnWyJY;2016-01-11T16:02:33.000Z;Crosswalks Don't Always Make You Safer
4SyetdjWMuw;2016-01-04T16:00:01.000Z;Why Britain Sucks At Product Placement
dkSslseq9Y8;2015-12-26T15:59:39.000Z;Seeing Other People's Steam Accounts: The Christmas Caching Catastrophe
kNm-b1UXGTY;2015-12-21T16:11:32.000Z;A Christmas Computer Bug, and the Future of Files
rTwg3oWnUgc;2015-12-14T16:00:01.000Z;Automated Weapons and the Battlefield of 2050
S0zMip62o5E;2015-12-07T16:00:00.000Z;Big Industrial Simulators in Finland
bUknYGEbLsg;2015-11-27T15:53:46.000Z;700 Flavours of Soda Pop: Galco's in Los Angeles
yeQ-6eyMQ_o;2015-11-23T20:35:17.000Z;How The Rosetta Stone Unlocked Hieroglyphics
LrT4urHj61g;2015-12-01T17:01:26.000Z;Drones, Deserts and Danger
5erVH-zk7Uk;2015-11-09T16:00:00.000Z;The Collapsed Dam That Stopped Los Angeles
KUdQ7gxU6Rg;2015-11-02T17:54:08.000Z;Why I Can't Show You The H******** S***
cxxGf82as4Q;2015-10-26T15:08:07.000Z;Goalball: Blindfold Paralympic Reverse Dodgeball
XvHcZciihJw;2015-10-19T15:00:00.000Z;The Bielefeld Conspiracy
QXuTz-5N1Aw;2015-10-12T15:00:00.000Z;The Strange St Pauli Elbtunnel
BTPToO-gfTE;2015-10-08T15:00:00.000Z;Britain's End-of-the-World Bunkers
RGNLyYGpv8Y;2015-10-05T15:00:01.000Z;Simulating a Universe: the EAGLE Project at Durham University
0fw5Cyh21TE;2015-09-22T18:40:49.000Z;The Link That Can Crash Chrome: http://a/%%30%30
lIFE7h3m40U;2015-09-24T14:50:00.000Z;The Art of the Bodge: How I Made The Emoji Keyboard
qHO9gARac-w;2015-09-28T15:00:03.000Z;Archimedes and a Boat Lift: the Falkirk Wheel
3AtBE9BOvvk;2015-09-21T13:00:30.000Z;Real Life Emoji Keyboard!
mh1UXi0csqc;2015-09-14T15:00:01.000Z;The Man Who Had Himself Taxidermied: Jeremy Bentham
xXC6U0NfJg8;2015-09-07T15:07:04.000Z;Sinking Ship Simulator: The Royal Navy's Damage Repair Instructional Unit
H-I6drGa2pk;2015-08-31T15:00:00.000Z;The Secret Underground Pipeline Across Britain
tZnoS6rPzmI;2015-08-27T15:00:01.000Z;Amphibious Weed-Cutting Boat!
kjQLT5CKEAU;2015-08-24T14:44:41.000Z;G-Forces, Gliders, and Graveyard Spirals
1poq11wp1zU;2015-08-17T15:08:29.000Z;The Abandoned Village of Imber: How Far Can Emergency Powers Go?
zJt8yzR2aoY;2015-08-20T15:18:22.000Z;So You've Learned To Teleport
eYH1lPm41-0;2015-08-10T15:00:01.000Z;Hovercraft, Concorde, and the Dreams of the 1970s
gwgzTsO46yc;2015-08-06T15:00:01.000Z;Jimmy Carter's Rabbit and Tinfoil Hats: Citation Needed 3x05
KxzOQwktMCc;2015-08-03T15:00:00.000Z;The Weirdest Bridge in Wales: The Newport Transporter Bridge
egbJ8p2UVKk;2015-07-30T15:00:00.000Z;Sidney Weltmer and the Queen's Package: Citation Needed 3x04
nKOcrH_PyU0;2015-07-23T15:00:04.000Z;Sergeant Reckless and Terry Google: Citation Needed 3x03
BhYEkRjUWM8;2015-07-29T15:00:00.000Z;How to Visit Chernobyl
xbi6eoh63ZQ;2015-07-31T15:00:02.000Z;The Russian Woodpecker of Chernobyl: How To See Over The Horizon
uV4Kz2ednjs;2015-07-28T15:00:02.000Z;Radioactive Bananas in Chernobyl
vK8ykPmtRyg;2015-07-27T15:00:03.000Z;Containing the Worst Nuclear Disaster in History: Chernobyl's New Confinement Structure
0Sz55gmNUaI;2015-07-20T15:00:00.000Z;The World's Largest Indoor Waterpark
zCfPlxTayqY;2015-07-13T16:07:20.000Z;The Giant Cranes and Robots That Keep Civilisation Running
6qNawyzVGbc;2015-07-16T15:00:01.000Z;The Boobrie and Conservative Pandas: Citation Needed 3x02
2otrhYbE0b8;2015-07-09T15:00:01.000Z;The SS Bessemer and Ask Heaves: Citation Needed 3x01
EwQdK4Y1Pkg;2015-07-07T15:00:00.000Z;Are Batteries Heavier When They're Full? (with Robert Llewellyn!)
Uqjg8Kk1HXo;2015-06-30T17:51:34.000Z;Why Leap Seconds Cause Glitches
eFJ-ze2-SqU;2015-07-02T15:00:01.000Z;How To Visit Svalbard
pwGcrSuAIuc;2015-06-29T15:00:01.000Z;What's The Doomsday Seed Vault Really For?
oZ2Qms2fMH8;2015-07-01T15:00:02.000Z;The Sundial That Works 24 Hours A Day
ch7HwhGynXk;2015-07-03T15:00:03.000Z;The Islands Where Guns are Required
AGXbiSwcqtM;2015-06-22T15:00:01.000Z;The Sightlines of London
wVBZLoNffPw;2015-06-15T15:00:01.000Z;The Toxic Blue Lagoon of Buxton
YgJBD1wf-YQ;2015-06-08T15:00:00.000Z;Paternoster Lifts: Dangerous, Obsolete and Quite Fun (including over the top!)
oE93J33SfHY;2015-06-01T15:00:01.000Z;The Most Complex Borders in Europe: Why Do We Have Nations?
hJLMSllzoLA;2015-05-29T16:47:37.000Z;The Effective Power Bug: Why Can Weird Text Crash Your iPhone?
jE2PP7EowdM;2015-05-22T13:37:14.000Z;The Speed of Outrage: Tom Scott at Thinking Digital 2015
S9E1wsxOSzM;2015-05-25T15:00:00.000Z;The Fictional Bridges That Became Real
m8niIHChc1Y;2015-06-18T15:00:01.000Z;What Counts as a Word?
bxARj07jFp0;2015-06-11T15:00:01.000Z;Long and Short Words: Language Typology
Qh8QlfYLUO0;2015-06-04T15:00:01.000Z;Why Can't Adults Learn Languages Like Children?
ldT2g2qDQNQ;2015-05-28T15:00:03.000Z;Crash Blossoms and Being Drunk: Ambiguity
GAgp7nXdkLU;2015-05-21T14:00:01.000Z;Why Computers Suck At Translation
jkdwK_74eEs;2015-05-18T15:00:07.000Z;How The Netherlands Stopped The Wind
B5a6wrJpxP4;2015-05-05T15:00:00.000Z;Risk, Immortality, and the Terrifying Pulpit Rock
LG-X23aVud0;2015-04-27T15:39:07.000Z;Ships, Mines and Magnetism
iCQEc736GO4;2015-04-06T14:29:39.000Z;The Human-Powered, Giant Theme Park Playground: Ai Pioppi
egeMAIXYIvI;2015-03-30T14:51:42.000Z;7 Illegal Things To Do In A British Election
GAKwRou6HUw;2015-03-23T16:00:00.000Z;The 400,000,000-Year Link Between Scotland and Canada
t60EfnqZKrQ;2015-03-16T16:00:05.000Z;How To Make Something One Atom Thick
SdxzvQG3aic;2015-03-09T16:00:01.000Z;The Bubble: imagine the web without trolls, or shocks, or spam
QixlLU15CIc;2015-03-02T16:00:03.000Z;Turnpikes and Tolls: What if all major roads were private?
c5Az7Rez3Rk;2015-02-23T16:00:01.000Z;How to Program a Quantum Computer (sort of)
pj9-vL5JFqo;2015-02-16T16:00:01.000Z;The Driverless Cars of Greenwich
l0fViGU-Snc;2015-02-08T17:00:06.000Z;Standing in a Hurricane in Slow Motion
msPCQgRPPjI;2015-02-04T15:11:31.000Z;How Green Screen Worked Before Computers
09mpgUzVc5g;2015-01-26T16:00:18.000Z;How Many Colours Are In A Rainbow?
EvJtyE2N6l4;2015-01-22T16:00:07.000Z;The Swarm and the Giant Jam Sandwich: Citation Needed 2x07
0-ZeCXYr_Uw;2015-01-19T17:55:30.000Z;The British Rail Flying Saucer
kssR0xrdHN8;2015-01-15T14:00:18.000Z;Lisa Clayton and Cake Black Holes: Citation Needed 2x06
D22BOOGbpFM;2015-01-12T16:00:09.000Z;The Magic Roundabout: Swindon's Terrifying Traffic Circle and Emergent Behaviour
CgJudU_jlZ8;2015-01-06T23:11:45.000Z;The Moonpig Bug: How 3,000,000 Customers' Details Were Exposed
9kmlwZ_BOvU;2015-01-08T16:00:04.000Z;The Flitch of Bacon and a Goose on a Train: Citation Needed 2x05
DmvHZ4omB2A;2015-01-05T16:00:03.000Z;Why The Prime Meridian Isn't At 0º
xfHStwlDIGg;2015-01-01T15:15:08.000Z;A Message from Earth and Flappy Gloves: Citation Needed 2x04
IHv3wSYi9PA;2014-12-29T16:00:09.000Z;Why Doesn't Britain Have Rabies?
p7I4xpSz6-Y;2014-12-26T20:49:06.000Z;Can It Be "Too Cold To Snow"?
LGwgT5jho6I;2014-12-22T15:19:42.000Z;Ley Lines and Avebury Henge, the Better Version of Stonehenge
K1uqcG7KyrI;2014-12-18T16:47:35.000Z;The Centennial Light and Edison the Cheat: Citation Needed 2x03
ML5TaNlwgeg;2014-12-15T14:32:42.000Z;The Hottest Place in Britain, and the BBC Theme Park
iW9YwL39lPU;2014-12-11T14:07:21.000Z;The Coffin Ray and Hugging a Penguin: Citation Needed 2x02
gN_PK5pXmIY;2014-12-09T19:14:23.000Z;Do The Numbers On Toaster Dials Mean Minutes?
VxBlyZAl5MQ;2014-12-08T19:00:04.000Z;The Concrete Pillars On Top Of British Hills: Trig Points
DQztJBFYIcE;2014-12-04T19:09:26.000Z;Thomas Trueblood and the Ridiculous Marathon: Citation Needed 2x01
OSlGJ9FNHOk;2014-11-24T18:44:26.000Z;Why "Four Score and Seven Years Ago"?
NOsFLzpfRpU;2014-11-17T18:15:26.000Z;The Floating Lighthouse in New York: The Lightship Ambrose
yWjpR365-h4;2014-11-06T15:07:01.000Z;The Diner Where You Microwaved Your Own Food
juZqGU9iuq0;2014-11-10T17:50:27.000Z;The Liquid Nitrogen Tanks of New York
ey6JPPGgZl8;2014-11-03T14:11:24.000Z;There's a Bit of England in New York, Literally
